,l,alpha,mmd
0,"tensor(0.4565, dtype=torch.float64)",5,0.0
1,"tensor(0.4565, dtype=torch.float64)",5,0.0
2,"tensor(0.4565, dtype=torch.float64)",5,0.0
3,"tensor(0.4565, dtype=torch.float64)",5,0.0
4,"tensor(0.4565, dtype=torch.float64)",5,0.0
5,"tensor(0.4565, dtype=torch.float64)",5,0.0
6,"tensor(0.4565, dtype=torch.float64)",5,0.0
7,"tensor(0.4565, dtype=torch.float64)",5,0.0
8,"tensor(0.4565, dtype=torch.float64)",5,0.0
9,"tensor(0.4565, dtype=torch.float64)",5,0.001220154
10,"tensor(0.4565, dtype=torch.float64)",5,0.0017084498
11,"tensor(0.4565, dtype=torch.float64)",5,0.002378242
12,"tensor(0.4565, dtype=torch.float64)",5,0.002281826
13,"tensor(0.4565, dtype=torch.float64)",5,0.0017657205
14,"tensor(0.4565, dtype=torch.float64)",5,0.0013381988
15,"tensor(0.4565, dtype=torch.float64)",5,0.0010333657
16,"tensor(0.4565, dtype=torch.float64)",5,0.000706017
17,"tensor(0.4565, dtype=torch.float64)",5,0.00063729286
18,"tensor(0.4565, dtype=torch.float64)",5,0.0011999639
19,"tensor(0.4565, dtype=torch.float64)",5,0.0015300629
20,"tensor(0.4565, dtype=torch.float64)",5,0.0024541086
21,"tensor(0.4565, dtype=torch.float64)",5,0.0019453261
22,"tensor(0.4565, dtype=torch.float64)",5,0.0014859214
23,"tensor(0.4565, dtype=torch.float64)",5,0.0010305345
24,"tensor(0.4565, dtype=torch.float64)",5,0.001992464
25,"tensor(0.4565, dtype=torch.float64)",5,0.00090384483
26,"tensor(0.4565, dtype=torch.float64)",5,0.00074994564
27,"tensor(0.4565, dtype=torch.float64)",5,0.0011557203
28,"tensor(0.4565, dtype=torch.float64)",5,0.0015249245
29,"tensor(0.4565, dtype=torch.float64)",5,0.0026676552
30,"tensor(0.4565, dtype=torch.float64)",5,0.001912374
31,"tensor(0.4565, dtype=torch.float64)",5,0.0014378056
32,"tensor(0.4565, dtype=torch.float64)",5,0.0012164414
33,"tensor(0.4565, dtype=torch.float64)",5,0.0016258657
34,"tensor(0.4565, dtype=torch.float64)",5,0.00069874525
35,"tensor(0.4565, dtype=torch.float64)",5,0.00068849325
36,"tensor(0.4565, dtype=torch.float64)",5,0.0013115215
37,"tensor(0.4565, dtype=torch.float64)",5,0.0015164304
38,"tensor(0.4565, dtype=torch.float64)",5,0.0024716416
39,"tensor(0.4565, dtype=torch.float64)",5,0.001872478
40,"tensor(0.4565, dtype=torch.float64)",5,0.0016813241
41,"tensor(0.4565, dtype=torch.float64)",5,0.001202777
42,"tensor(0.4565, dtype=torch.float64)",5,0.0011484325
43,"tensor(0.4565, dtype=torch.float64)",5,0.001257956
44,"tensor(0.4565, dtype=torch.float64)",5,0.0007901192
45,"tensor(0.4565, dtype=torch.float64)",5,0.0012496688
46,"tensor(0.4565, dtype=torch.float64)",5,0.0014905087
47,"tensor(0.4565, dtype=torch.float64)",5,0.0025365558
48,"tensor(0.4565, dtype=torch.float64)",5,0.0018615089
49,"tensor(0.4565, dtype=torch.float64)",5,0.0019612573
50,"tensor(0.4565, dtype=torch.float64)",5,0.0011926144
51,"tensor(0.4565, dtype=torch.float64)",5,0.001131177
52,"tensor(0.4565, dtype=torch.float64)",5,0.0012866259
53,"tensor(0.4565, dtype=torch.float64)",5,0.0008099079
