,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd
0,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,1,1782.179
1,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,1,2177.3774
2,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,1,2168.7734
3,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,1,2039.6941
4,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,1,2032.2014
5,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,2,1691.5371
6,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,2,2116.656
7,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,2,2249.2463
8,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,2,2040.3558
9,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,2,2042.3253
10,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,3,1614.29
11,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,3,2146.8242
12,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,3,2194.8228
13,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,3,2037.4167
14,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,3,2061.4487
15,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,4,1594.2944
16,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,4,2176.521
17,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,4,2219.3408
18,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,4,2038.0114
19,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,4,2070.2915
20,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,1,1559.647
21,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,1,2077.891
22,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,1,2202.0356
23,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,1,2084.418
24,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,1,2053.2441
25,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,2,1514.9021
26,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,2,2042.0121
27,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,2,2193.5237
28,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,2,2091.4512
29,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,2,2076.0662
30,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,3,1485.0017
31,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,3,2060.3965
32,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,3,2230.8345
33,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,3,2102.9663
34,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,3,2128.6646
35,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,4,1440.269
36,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,4,2027.4712
37,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,4,2209.8293
38,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,4,2136.9785
39,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,4,2099.79
40,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,1,1415.7168
41,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,1,1998.2018
42,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,1,2153.5146
43,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,1,2140.225
44,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,1,2021.7604
45,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,2,1305.1272
46,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,2,1928.7656
47,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,2,2127.047
48,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,2,2188.2312
49,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,2,2073.4216
50,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,3,1503.9822
