,fit_l,mmd_l,fit_sigma,mmd_sigma,mmd,label
0,"tensor(0.0611, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)",1,1,0.013134514956393159,0
1,"tensor(0.0611, dtype=torch.float64)","tensor(0.1660, dtype=torch.float64)",1,1,0.013288364729532952,1
2,"tensor(0.0611, dtype=torch.float64)","tensor(0.4513, dtype=torch.float64)",1,1,0.012859808059243784,2
3,"tensor(0.0611, dtype=torch.float64)","tensor(1.2267, dtype=torch.float64)",1,1,0.012788623161830763,3
4,"tensor(0.0611, dtype=torch.float64)","tensor(3.3345, dtype=torch.float64)",1,1,0.023051460939323816,4
5,"tensor(0.1660, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)",1,1,0.0046719433769994365,5
6,"tensor(0.1660, dtype=torch.float64)","tensor(0.1660, dtype=torch.float64)",1,1,0.0021710621370300623,6
7,"tensor(0.1660, dtype=torch.float64)","tensor(0.4513, dtype=torch.float64)",1,1,0.0019687888168808607,7
8,"tensor(0.1660, dtype=torch.float64)","tensor(1.2267, dtype=torch.float64)",1,1,0.00319396428324243,8
9,"tensor(0.1660, dtype=torch.float64)","tensor(3.3345, dtype=torch.float64)",1,1,0.005080205738730061,9
10,"tensor(0.4513, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)",1,1,0.0036120042760068236,10
11,"tensor(0.4513, dtype=torch.float64)","tensor(0.1660, dtype=torch.float64)",1,1,0.0021090058589169347,11
12,"tensor(0.4513, dtype=torch.float64)","tensor(0.4513, dtype=torch.float64)",1,1,0.0018344671243340077,12
13,"tensor(0.4513, dtype=torch.float64)","tensor(1.2267, dtype=torch.float64)",1,1,0.0027153877052316713,13
14,"tensor(0.4513, dtype=torch.float64)","tensor(3.3345, dtype=torch.float64)",1,1,0.0052351700252506045,14
15,"tensor(1.2267, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)",1,1,0.005565266347780193,15
16,"tensor(1.2267, dtype=torch.float64)","tensor(0.1660, dtype=torch.float64)",1,1,0.005759427855107822,16
17,"tensor(1.2267, dtype=torch.float64)","tensor(0.4513, dtype=torch.float64)",1,1,0.007342283956662622,17
18,"tensor(1.2267, dtype=torch.float64)","tensor(1.2267, dtype=torch.float64)",1,1,0.006454997356327118,18
19,"tensor(1.2267, dtype=torch.float64)","tensor(3.3345, dtype=torch.float64)",1,1,0.006627049960535945,19
20,"tensor(3.3345, dtype=torch.float64)","tensor(0.0611, dtype=torch.float64)",1,1,0.009835723111369855,20
21,"tensor(3.3345, dtype=torch.float64)","tensor(0.1660, dtype=torch.float64)",1,1,0.010729711791176495,21
22,"tensor(3.3345, dtype=torch.float64)","tensor(0.4513, dtype=torch.float64)",1,1,0.008833856538749192,22
23,"tensor(3.3345, dtype=torch.float64)","tensor(1.2267, dtype=torch.float64)",1,1,0.00815118948402168,23
24,"tensor(3.3345, dtype=torch.float64)","tensor(3.3345, dtype=torch.float64)",1,1,0.009723941243753843,24
